X_Value	laser_0	laser_1	laser_2	Untitled	Untitled 1	Untitled 2
85.470000	-0.233777	0.034703	0.274408	0.000234	0.001848	-0.000480
85.480000	-0.214899	-0.116680	0.243219	0.000377	0.003229	0.000243
85.490000	-0.171947	-0.214715	0.269027	0.000402	0.004876	5.142154E-5
85.500000	-0.203682	-0.337464	0.289455	0.000387	0.006354	0.000560
85.510000	-0.220280	-0.492040	0.250697	0.000600	0.007347	0.000903
85.520000	-0.192192	-0.562716	0.319094	0.000382	0.008477	0.000694
85.530000	-0.228852	-0.740637	0.287084	0.000661	0.009225	0.000981
85.540000	-0.196569	-0.801373	0.300125	0.000465	0.010050	0.001243
85.550000	-0.200491	-0.887097	0.288452	0.000488	0.010821	0.000975
85.560000	-0.218365	-0.973823	0.281521	0.000546	0.010999	0.001329
85.570000	-0.215903	-1.002823	0.306053	0.000307	0.011115	0.001079
85.580000	-0.213167	-1.129949	0.253159	0.000548	0.010767	0.000549
85.590000	-0.183255	-1.183390	0.291005	0.000288	0.010633	0.000885
85.600000	-0.209793	-1.268019	0.294471	0.000516	0.010083	-0.000134
85.610000	-0.238063	-1.328116	0.265015	0.000370	0.009722	-0.000214
85.620000	-0.193833	-1.339151	0.273314	0.000475	0.008953	0.000221
85.630000	-0.229855	-1.391953	0.260729	0.000681	0.008096	-0.000876
85.640000	-0.205871	-1.436456	0.272402	0.000469	0.007565	-0.000168
85.650000	-0.209701	-1.449132	0.264103	0.000778	0.006779	-0.000167
85.660000	-0.234142	-1.469560	0.230178	0.000506	0.006506	-0.000526
85.670000	-0.185261	-1.431714	0.286810	0.000517	0.005917	0.000690
85.680000	-0.210978	-1.449132	0.296386	0.000409	0.005469	0.000601
85.690000	-0.208789	-1.431714	0.310612	0.000189	0.005251	0.000809
85.700000	-0.200035	-1.448676	0.310612	0.000446	0.004973	0.001311
85.710000	-0.228852	-1.415481	0.272402	0.000322	0.005000	0.000924
85.720000	-0.198849	-1.345261	0.321009	0.000548	0.004924	0.001001
85.730000	-0.202223	-1.296107	0.295292	0.000647	0.004873	0.001145
85.740000	-0.225752	-1.252333	0.261823	0.000643	0.004794	0.000579
85.750000	-0.190368	-1.174909	0.313531	0.000801	0.004482	0.000708
85.760000	-0.226755	-1.122927	0.225436	0.000442	0.004277	0.000765
85.770000	-0.232318	-1.018327	0.301675	0.000482	0.004079	2.003186E-5
85.780000	-0.208789	-0.955311	0.274590	0.000194	0.003832	0.000628
85.790000	-0.196113	-0.886914	0.280244	0.000153	0.003156	0.000403
85.800000	-0.220280	-0.775474	0.251062	0.000287	0.002151	-0.000401
85.810000	-0.233321	-0.737902	0.261185	0.000125	0.001298	0.000153
85.820000	-0.206692	-0.606945	0.270213	0.000596	0.000127	-0.000653
85.830000	-0.224201	-0.506084	0.246776	0.000485	-0.000719	-0.000422
85.840000	-0.192192	-0.375127	0.289455	0.000691	-0.002032	0.000151
85.850000	-0.203591	-0.249096	0.255531	0.000620	-0.003366	-0.000329
