X_Value	laser_0	laser_1	laser_2	Untitled	Untitled 1	Untitled 2
2.970000	-0.006558	0.006274	-0.008368	0.000144	0.000364	-0.000135
2.980000	0.004568	0.035730	-0.021044	7.644804E-5	0.000141	0.000686
2.990000	-0.006558	0.003174	-0.000434	-0.000242	0.000243	-0.000186
3.000000	-0.009111	-0.004852	-0.016484	8.741174E-5	0.000159	0.000674
3.010000	0.009128	0.033998	0.011056	0.000276	0.000435	0.000292
3.020000	-0.004825	0.006274	-0.003170	0.000562	0.000123	0.000430
3.030000	0.021348	0.039196	0.002940	0.000934	0.000126	0.000853
3.040000	-0.000448	0.018221	-0.015481	0.000775	0.000180	1.371690E-5
3.050000	-0.020784	0.022142	-0.003626	0.000819	-1.306559E-6	0.001072
3.060000	0.034115	0.030076	0.019446	0.000385	0.000375	0.000214
3.070000	0.018886	0.001897	-0.044846	0.000185	0.000119	0.000378
3.080000	0.002744	0.048315	-0.001893	9.849889E-5	0.000353	0.000298
3.090000	-0.018140	0.023510	0.002940	-4.705897E-5	0.000212	-0.000314
3.100000	-0.020967	-0.002389	0.007044	0.000309	9.816179E-5	0.000844
3.110000	-0.007835	0.035274	0.005676	0.000343	0.000310	-0.000193
3.120000	-0.000448	0.008281	-0.037824	0.000806	1.525552E-5	0.001134
3.130000	-0.017866	-0.024550	0.002940	0.000876	0.000181	0.000337
3.140000	-0.010023	-0.013971	-0.018126	0.000861	0.000143	0.000488
3.150000	-0.008747	-0.033487	-0.006635	0.000831	0.000120	0.000579
3.160000	0.018977	-0.001386	0.014795	0.000329	0.000198	1.237640E-7
3.170000	-0.019143	-0.026830	-0.009736	0.000310	0.000115	0.000936
3.180000	0.000829	-0.020172	-0.015025	-8.769685E-5	0.000396	-0.000318
3.190000	0.002197	-0.060754	-0.002258	-3.999477E-5	0.000357	0.000539
3.200000	0.002288	-0.046437	-0.006635	0.000109	0.000418	-3.006424E-6
3.210000	0.001285	0.007095	0.020085	0.000184	0.000370	0.000194
3.220000	-0.037655	-0.006493	0.000387	0.000669	0.000156	0.000802
3.230000	-0.013580	-0.041603	-0.007091	0.000658	0.000194	3.551536E-5
3.240000	0.008672	-0.024185	0.000751	0.000977	-0.000203	0.000934
3.250000	0.000373	-0.044339	0.005676	0.000907	-4.237444E-5	0.000199
3.260000	0.014052	-0.001933	0.000751	0.000631	-4.158707E-6	0.000353
3.270000	0.004842	-0.038503	-0.008368	0.000532	0.000180	0.000863
3.280000	0.007942	-0.052638	-0.009280	-1.642846E-6	0.000448	-0.000215
3.290000	-0.012212	-0.017528	0.010145	8.054548E-5	0.000492	0.001106
3.300000	0.015329	-0.042606	0.003031	-5.323033E-5	0.000531	-0.000749
3.310000	0.027549	-0.015977	0.018443	0.000154	0.000305	0.000311
3.320000	-0.005008	-0.060937	0.009597	0.000491	0.000213	0.000373
3.330000	-0.009111	-0.019716	-0.004082	0.000554	-9.150416E-5	0.000219
3.340000	-0.007470	-0.044248	-0.008094	0.001001	-0.000163	0.001317
3.350000	-0.024341	-0.027924	-0.013749	0.000698	-5.625952E-5	-0.000525
3.360000	0.016697	0.013023	0.005220	0.000697	0.000117	0.001371
3.370000	-0.030907	-0.065679	-0.012837	0.000390	0.000445	-0.000479
3.380000	-0.003913	-0.023273	-0.003626	7.114603E-5	0.000343	0.000886
3.390000	-0.002180	-0.024094	-0.010283	0.000187	0.000493	0.000283
3.400000	8.207560E-6	-0.022999	-0.023324	-1.511502E-6	0.000454	-0.000414
3.410000	0.008398	-0.016433	0.030663	0.000458	0.000175	0.000898
3.420000	0.007030	-0.053094	-0.010192	0.000476	-2.891920E-5	-0.000432
3.430000	0.013049	-0.028015	0.005585	0.000761	-0.000254	0.001373
3.440000	0.030194	-0.027559	-0.004082	0.000836	1.062198E-5	7.387800E-5
3.450000	0.008307	-0.023820	0.001299	0.000542	0.000276	0.000594
3.460000	-0.013033	0.012567	0.016255	0.000559	0.000349	0.000583
3.470000	-0.012030	0.005271	-0.011013	0.000149	0.000508	-0.000308
3.480000	-0.003092	0.008828	-0.001346	9.346193E-5	0.000394	0.000680
3.490000	0.010131	-0.009047	-0.018856	4.771306E-5	0.000307	-0.000132
3.500000	0.004842	0.018677	-0.001528	1.730697E-5	-4.886121E-6	0.000172
3.510000	0.007030	0.028708	0.003031	0.000416	-4.512158E-5	0.000768
3.520000	0.011772	0.026064	0.002028	0.000378	5.819489E-5	-0.000146
3.530000	-0.001633	0.006274	-0.004264	0.000816	3.804941E-5	0.001191
3.540000	-0.027806	0.013661	-0.013749	0.000729	0.000200	-0.000263
3.550000	0.004021	0.007551	-0.000434	0.000780	0.000194	0.001033
3.560000	0.016515	0.049136	0.008685	0.000668	0.000457	0.000267
3.570000	-0.006011	0.010469	-0.003079	0.000241	0.000248	0.000386
